bbox_name_(auto),created_date_(auto),parent_folders_(auto),volunteer_name_(auto),location,diver,year,month,day,rough_time_of_day,video_comments,bbox_comments,tagged,same_as_other_box,laser,phase,xmin,ymin,xmax,ymax,score,obj_id
012419_1pmdive_Cody_Old2_1_-_00_00_18_250_-_73_ID4_box80.jpg,2012-01-04T17:14:13.000000Z,Grouper Moon/Video and Photos/2019/January/Fish faces/012419_1pmdive_(VIDEO),Bryan Delgado,,,,,,,,,,,,,403,37,944,264,0.999992609,4
GOPR0479_-_00_00_02_00_-_8_ID0_box7.jpg,2018-02-02T16:56:06.000000Z,Grouper Moon/Fish faces/2018_fish_faces/Brac_FishFaces/020218_morningBrac_Kat_(VIDEO),Ala Nadjuch,,,,,,,,,,,,,455,231,1080,697,0.869380414,0
GOPR0482_-_00_00_05_500_-_22_ID1_box21.jpg,2018-02-02T16:58:27.000000Z,Grouper Moon/Fish faces/2018_fish_faces/Brac_FishFaces/020218_morningBrac_Kat_(VIDEO),Ala Nadjuch,,,,,,,,,,,,,0,290,1094,747,0.99999845,1
GOPR0482_-_00_00_09_250_-_37_ID2_box36.jpg,2018-02-02T16:58:27.000000Z,Grouper Moon/Fish faces/2018_fish_faces/Brac_FishFaces/020218_morningBrac_Kat_(VIDEO),Ala Nadjuch,,,,,,,,,,,,,579,519,1515,955,0.999833465,2
GOPR0482_-_00_00_10_500_-_42_ID2_box42.jpg,2018-02-02T16:58:27.000000Z,Grouper Moon/Fish faces/2018_fish_faces/Brac_FishFaces/020218_morningBrac_Kat_(VIDEO),Ala Nadjuch,,,,,,,,,,,,,643,344,1607,711,0.999967456,2
GOPR0485_-_00_00_00_500_-_2_ID0_box1.jpg,2018-02-02T17:03:09.000000Z,Grouper Moon/Fish faces/2018_fish_faces/Brac_FishFaces/020218_morningBrac_Kat_(VIDEO),Ala Nadjuch,,,,,,,,,,,,,824,180,1644,526,0.999998569,0
GOPR0487_-_00_00_06_250_-_25_ID0_box29.jpg,2018-02-02T17:04:40.000000Z,Grouper Moon/Fish faces/2018_fish_faces/Brac_FishFaces/020218_morningBrac_Kat_(VIDEO),Ala Nadjuch,,,,,,,,,,,,,329,173,1305,684,0.999681711,0
GOPR0488_-_00_00_02_00_-_8_ID0_box16.jpg,2018-02-02T17:05:29.000000Z,Grouper Moon/Fish faces/2018_fish_faces/Brac_FishFaces/020218_morningBrac_Kat_(VIDEO),Ala Nadjuch,,,,,,,,,,,,,913,220,1626,490,0.999999404,0
P2010002_-_00_00_00_500_-_2_ID0_box3.jpg,2018-02-01T14:12:28.000000Z,Grouper Moon/Fish faces/2018_fish_faces/fish_faces/020118_afternoon2pm/020118_afternoon2pm_camera1_JH_fishface_40ftWB_(VIDEO)_(4K),Alli Candelmo,,,,,,,,,,,,,704,192,3840,1376,0.99384141,0
P2010002_-_00_00_00_750_-_3_ID1_box4.jpg,2018-02-01T14:12:28.000000Z,Grouper Moon/Fish faces/2018_fish_faces/fish_faces/020118_afternoon2pm/020118_afternoon2pm_camera1_JH_fishface_40ftWB_(VIDEO)_(4K),Alli Candelmo,,,,,,,,,,,,,863,1339,1471,1734,0.999990344,1
