bbox_name_(auto),created_date_(auto),parent_folders_(auto),volunteer_name_(auto),location,diver,year,month,day,rough_time_of_day,video_comments,bbox_comments,tagged,same_as_other_box,laser,phase,xmin,ymin,xmax,ymax,score,obj_id
012619_Afternoon_Scott_clearlasers_303slate_wide_4_-_00_00_14_00_-_56_ID0_box55.jpg,2019-01-25T16:41:46.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,,no,,1152,824,3694,1586,0.999995350837707,0
012619_Afternoon_Scott_clearlasers_303slate_wide_4_-_00_01_32_00_-_368_ID4_box367.jpg,2019-01-25T16:41:46.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,,yes,,1332,734,2232,997,0.741678118705749,4
012619_Afternoon_Scott_clearlasers_303slate_wide_4_-_00_01_52_250_-_449_ID9_box448.jpg,2019-01-25T16:41:46.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,,yes,,1505,703,2083,963,0.997334122657776,9
012619_Afternoon_Scott_clearlasers_303slate_wide_4_-_00_02_19_250_-_557_ID10_box556.jpg,2019-01-25T16:41:46.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,,yes,,1496,695,2145,1001,0.999273478984832,10
012619_Afternoon_Scott_clearlasers_303slate_wide_4_-_00_02_31_500_-_606_ID14_box605.jpg,2019-01-25T16:41:46.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,,yes,,1462,715,2109,1098,0.705135226249694,14
012619_Afternoon_Scott_clearlasers_303slate_wide_4_-_00_02_33_00_-_612_ID15_box611.jpg,2019-01-25T16:41:46.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,,yes,,1539,732,2212,960,0.9711434841156,15
012619_Afternoon_Scott_clearlasers_303slate_wide_4_-_00_05_06_500_-_1226_ID24_box1229.jpg,2019-01-25T16:41:46.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,,no,,1467,423,1780,575,0.942481219768524,24
012619_Afternoon_Scott_clearlasers_303slate_wide_4_-_00_05_11_750_-_1247_ID26_box1254.jpg,2019-01-25T16:41:46.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,,yes,,1395,694,2150,1017,0.998219788074493,26
012619_Afternoon_Scott_clearlasers_303slate_wide_4_-_00_05_19_750_-_1279_ID31_box1286.jpg,2019-01-25T16:41:46.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,,yes,,1663,765,2066,947,0.999072313308715,31
012619_Afternoon_Scott_clearlasers_303slate_wide_4_-_00_05_27_250_-_1309_ID32_box1316.jpg,2019-01-25T16:41:46.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,,yes,,1331,721,2189,1035,0.974363386631012,32
012619_Afternoon_Scott_clearlasers_303slate_wide_4_-_00_05_33_00_-_1332_ID37_box1341.jpg,2019-01-25T16:41:46.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,,yes,,1639,775,2139,1007,0.999719679355621,37
012619_Afternoon_Scott_clearlasers_303slate_wide_4_-_00_05_35_250_-_1341_ID39_box1357.jpg,2019-01-25T16:41:46.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,,no,,2440,1233,3027,1523,0.999995946884155,39
012619_Afternoon_Scott_clearlasers_303slate_wide_4_-_00_05_35_250_-_1341_ID37_box1359.jpg,2019-01-25T16:41:46.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,,yes,,1613,775,2083,970,0.717369318008422,37
012619_Afternoon_Scott_clearlasers_303slate_wide_4_-_00_05_36_750_-_1347_ID37_box1369.jpg,2019-01-25T16:41:46.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,,yes,,1624,756,2173,1004,0.999983787536621,37
012619_Afternoon_Scott_clearlasers_303slate_wide_4_-_00_05_43_500_-_1374_ID48_box1404.jpg,2019-01-25T16:41:46.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,,yes,,1422,691,2246,1005,0.999447286128997,48
012619_Afternoon_Scott_clearlasers_303slate_wide_4_-_00_05_49_00_-_1396_ID57_box1426.jpg,2019-01-25T16:41:46.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,,no,,1416,993,1733,1239,0.870916426181793,57
012619_Afternoon_Scott_clearlasers_303slate_wide_4_-_00_06_05_750_-_1463_ID59_box1493.jpg,2019-01-25T16:41:46.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,,yes,,1518,712,2194,1067,0.853904485702514,59
012619_Afternoon_Scott_clearlasers_303slate_wide_2_-_00_00_03_750_-_15_ID0_box15.jpg,2019-01-25T16:35:29.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,,yes,,1239,578,2278,1110,0.857988953590393,0
012619_Afternoon_Scott_clearlasers_303slate_wide_2_-_00_00_12_500_-_50_ID2_box50.jpg,2019-01-25T16:35:29.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,,yes,,1596,747,2086,966,0.908206462860107,2
012619_Afternoon_Scott_clearlasers_303slate_wide_2_-_00_00_17_750_-_71_ID3_box71.jpg,2019-01-25T16:35:29.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,012619_Afternoon_Scott_clearlasers_303slate_wide_2_-_00_00_12_500_-_50_ID2_box50.jpg,yes,,1485,773,2340,1010,0.992505073547363,3
012619_Afternoon_Scott_clearlasers_303slate_wide_2_-_00_01_11_00_-_284_ID9_box284.jpg,2019-01-25T16:35:29.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,,yes,,1536,741,2165,1006,0.980381190776825,9
012619_Afternoon_Scott_clearlasers_303slate_wide_2_-_00_01_17_250_-_309_ID12_box309.jpg,2019-01-25T16:35:29.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,,yes,,1523,668,2193,951,0.80159306526184,12
012619_Afternoon_Scott_clearlasers_303slate_wide_2_-_00_01_53_250_-_453_ID15_box454.jpg,2019-01-25T16:35:29.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,,yes,,1626,768,2035,1067,0.832771062850952,15
012619_Afternoon_Scott_clearlasers_303slate_wide_2_-_00_01_59_500_-_478_ID16_box479.jpg,2019-01-25T16:35:29.000000Z,Grouper Moon/Video and Photos/2019/January/Lasers/012619_Afternoon_Scott_clearlasers_303slate_wide_(VIDEO)_(4K),Claire Kosinski,,,,,,,,,,,yes,,1415,757,2062,976,0.999533295631408,16
